friendly_class,opponent_class,turn,noplay_num,win_noplay,no_play_CI,pick1_num,win_pick1,win_pick1_ci,pick5_num,win_pick5,win_pick5_ci,pick10_num,win_pick10,win_pick10_ci
WARLOCK,WARLOCK,10,19814,50.576,0.484122188,102,15.96566667,5.159881597,1009,7.36,2.090760657,1593,4.74,1.615425675
WARLOCK,WARLOCK,11,19250,50.604,0.464300932,88,11.33766667,7.970607859,742,4.104,1.641190705,1146,6.628,1.696743684
WARLOCK,WARLOCK,12,18969,50.84,0.445331323,82,5.624,7.046764636,515,3.32,3.071998982,849,3.868,2.106950798
WARLOCK,WARRIOR,3,45927,51.624,0.320639246,218,-15.928,4.428718703,709,-3.936,3.152197828,33,6.217176471,12.10758989
WARLOCK,WARRIOR,4,31436,49.56,0.430467755,1010,-14.272,1.732496615,18516,6.536,0.429847434,345,10.88,3.008042632
WARLOCK,WARRIOR,5,27371,49.076,0.399737465,4335,-6.408,0.805352135,4737,12.212,0.91090781,259,11.556,3.387720514
WARLOCK,WARRIOR,6,26756,49.912,0.373002234,1986,-14.348,1.377915112,2671,15.936,1.121699358,322,18.028,2.893467072
WARLOCK,WARRIOR,7,25807,50.416,0.36327245,1515,-10.5,1.886493686,2170,22.392,1.217183638,599,19.74,2.080935178
WARLOCK,WARRIOR,8,24909,50.224,0.387855986,735,-2.244,2.405646622,1625,25.66,1.137744272,1010,25.212,1.581901352
WARLOCK,WARRIOR,9,24156,49.836,0.417624721,149,12.689,6.220435313,1230,25.512,1.745016143,1071,28.144,1.732679501
WARLOCK,WARRIOR,10,23798,49.524,0.442423693,62,33.1135,7.088410782,726,25.396,1.750488007,788,30,2.120062213
WARLOCK,WARRIOR,11,23717,49.756,0.431493199,37,6.816222222,11.33743831,398,25.228,2.357657784,453,25.6,2.12106494
WARLOCK,WARRIOR,12,23641,49.772,0.425516885,15,16.89466667,20.67197101,221,22.056,3.343840434,322,21.408,4.134278068
